期数,关键词,波色,开奖结果
161期,"161期：黄大仙【双波中特】精英出现, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】精英出现, 161期：黄大仙【双波中特",,
161期,"161期:澳門黄大仙【公式双波】长期跟踪, 161期:澳門黄大仙【公式双波",,
161期,"161期:澳門黄大仙【公式双波】长期跟踪, 161期:澳門黄大仙【公式双波",,
161期,"161期:澳門黄大仙【公式双波】长期跟踪, 161期:澳門黄大仙【公式双波",,
161期,"161期:澳門黄大仙【公式双波】长期跟踪, 161期:澳門黄大仙【公式双波",,
161期,"161期:澳門黄大仙【公式双波】长期跟踪, 161期:澳門黄大仙【公式双波",,
161期,"161期:澳門黄大仙【公式双波】长期跟踪, 161期:澳門黄大仙【公式双波",,
161期,"161期:澳門黄大仙【公式双波】长期跟踪, 161期:澳門黄大仙【公式双波",,
161期,"158期🍀联盟双波🍀【绿波+蓝波】开牛05对, 160期🍀联盟双波🍀【红波+蓝波】开羊11错, 161期🍀联盟双波, 159期🍀联盟双波, 160期🍀联盟双波, 158期🍀联盟双波","绿波, 红波, 蓝波","羊11错, 猪31错"
161期,"157期:双波中特, 157期:双波中特╠绿波红波╣开:羊23准, 白小姐【180648.com】两波中特, 156期:双波中特","绿波, 红波, 蓝波","羊11错, 猪31准, 發00准, 牛05错, 鼠18准, 羊23准"
161期,"158期:双波中特, 160期:双波中特╠蓝波绿波╣开:羊11准, 160期:双波中特, 159期:双波中特, 161期:双波中特, 158期:双波中特╠红波蓝波╣开:牛05错","绿波, 红波, 蓝波","發00准, 牛05错, 猪31错, 羊11准"
161期,"161期：黄大仙【双波中特】失不再来, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】失不再来, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】失不再来, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】失不再来, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】失不再来, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】失不再来, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】失不再来, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】精英出现, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】精英出现, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】精英出现, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】精英出现, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】精英出现, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】精英出现, 161期：黄大仙【双波中特",,
161期,"161期:澳門黄大仙【公式双波】长期跟踪, 161期:澳門黄大仙【公式双波",,
161期,"161期:澳門黄大仙【公式双波】长期跟踪, 161期:澳門黄大仙【公式双波",,
161期,"161期:澳門黄大仙【公式双波】长期跟踪, 161期:澳門黄大仙【公式双波",,
161期,"161期:澳門黄大仙【公式双波】长期跟踪, 161期:澳門黄大仙【公式双波",,
161期,"161期:澳門黄大仙【公式双波】长期跟踪, 161期:澳門黄大仙【公式双波",,
161期,"161期:澳門黄大仙【公式双波】长期跟踪, 161期:澳門黄大仙【公式双波",,
161期,"161期:澳門黄大仙【公式双波】长期跟踪, 161期:澳門黄大仙【公式双波",,
161期,"牛头马面【双波中特, 牛头马面【双波中特】326345.com","绿波, 红波",？00准
161期,"158期:双波中特, 160期:双波中特【蓝红】开:羊11错, 160期:双波中特, 159期:双波中特, 161期:双波中特, 158期:双波中特【绿红】开:牛05准","绿波, 红波, 蓝波","發00准, 牛05准, 猪31准, 羊11错"
161期,"161期牛逼双波中特, 【红波蓝波】开:31猪准158期牛逼双波中特, 【蓝波红波】开:13蛇准140期牛逼双波中特, 【绿波蓝波】开:??准160期牛逼双波中特, 【红波绿波】开:02龙准147期牛逼双波中特, 彩票通信『牛逼双波』, 【绿波蓝波】开:14龙准138期牛逼双波中特, 【红波蓝波】开:10猴准142期牛逼双波中特, 【绿波红波】开:11羊准139期牛逼双波中特, 【蓝波绿波】开:41牛准137期牛逼双波中特, 【蓝波绿波】开:17牛准144期牛逼双波中特, 【蓝波绿波】开:14龙准145期牛逼双波中特, 【红波蓝波】开:18鼠准155期牛逼双波中特, 【绿波蓝波】开:11羊准159期牛逼双波中特, 【蓝波红波】开:40虎准149期牛逼双波中特, 【绿波红波】开:44狗准141期牛逼双波中特, 【红波绿波】开:43猪准150期牛逼双波中特, 【蓝波绿波】开:25蛇准143期牛逼双波中特, 【绿波红波】开:45鸡准154期牛逼双波中特, 【蓝波绿波】开:32狗准146期牛逼双波中特, 【蓝波绿波】开:05牛准156期牛逼双波中特, 【红波蓝波】开:41牛准148期牛逼双波中特, 【蓝波绿波】开:26龙准153期牛逼双波中特, 彩票通信『牛逼双波","绿波, 红波, 蓝波","虎40准, 31猪准, 鸡45准, 14龙准, 18鼠准, 狗32准, 牛05准, 鼠18准, 11准, 11羊准, ??准, 牛17准, 龙38准, 猪31准, 龙14准, 32狗准, 17牛准, 蛇13准, 牛41准, 44狗准, 26龙准, 13蛇准, 10猴准, 43猪准, 龙02准, 02龙准, 41牛准, 40虎准, 狗44准, 05牛准, 45鸡准, 羊11准, 猴10准, 25蛇准, 36马准"
161期,"161期牛逼双波中特, 【红波蓝波】开:31猪准158期牛逼双波中特, 【蓝波红波】开:13蛇准140期牛逼双波中特, 【绿波蓝波】开:??准160期牛逼双波中特, 【红波绿波】开:02龙准147期牛逼双波中特, 彩票通信『牛逼双波』, 【绿波蓝波】开:14龙准138期牛逼双波中特, 【红波蓝波】开:10猴准142期牛逼双波中特, 【绿波红波】开:11羊准139期牛逼双波中特, 【蓝波绿波】开:41牛准137期牛逼双波中特, 【蓝波绿波】开:17牛准144期牛逼双波中特, 【蓝波绿波】开:14龙准145期牛逼双波中特, 【红波蓝波】开:18鼠准155期牛逼双波中特, 【绿波蓝波】开:11羊准159期牛逼双波中特, 【蓝波红波】开:40虎准149期牛逼双波中特, 【绿波红波】开:44狗准141期牛逼双波中特, 【红波绿波】开:43猪准150期牛逼双波中特, 【蓝波绿波】开:25蛇准143期牛逼双波中特, 【绿波红波】开:45鸡准154期牛逼双波中特, 【蓝波绿波】开:32狗准146期牛逼双波中特, 【蓝波绿波】开:05牛准156期牛逼双波中特, 【红波蓝波】开:41牛准148期牛逼双波中特, 【蓝波绿波】开:26龙准153期牛逼双波中特, 彩票通信『牛逼双波","绿波, 红波, 蓝波","31猪准, 14龙准, 18鼠准, 11准, 11羊准, ??准, 32狗准, 17牛准, 44狗准, 26龙准, 13蛇准, 45准, 10猴准, 43猪准, 02龙准, 43准, 41牛准, 40虎准, 05牛准, 45鸡准, 25蛇准, 05准, 36马准"
161期,"161期牛逼双波中特, 【红波蓝波】开:31猪准158期牛逼双波中特, 【蓝波红波】开:13蛇准140期牛逼双波中特, 【绿波蓝波】开:??准160期牛逼双波中特, 161期牛逼双波中特【绿波蓝波】开:??准160期牛逼双波中特【绿波蓝波】开:11羊准159期牛逼双波中特【红波蓝波】开:31猪准158期牛逼双波中特【蓝波绿波】开:05牛准156期牛逼双波中特【红波蓝波】开:18鼠准155期牛逼双波中特【绿波红波】开:45鸡准154期牛逼双波中特【蓝波绿波】开:26龙准153期牛逼双波中特【红波绿波】开:43猪准150期牛逼双波中特【蓝波红波】开:40虎准149期牛逼双波中特【红波蓝波】开:41牛准148期牛逼双波中特【红波绿波】开:02龙准147期牛逼双波中特【蓝波绿波】开:32狗准146期牛逼双波中特【蓝波绿波】开:14龙准145期牛逼双波中特【蓝波绿波】开:17牛准144期牛逼双波中特【蓝波绿波】开:25蛇准143期牛逼双波中特【红波蓝波】开:10猴准142期牛逼双波中特【绿波红波】开:44狗准141期牛逼双波中特【蓝波红波】开:13蛇准140期牛逼双波中特【绿波红波】开:11羊准139期牛逼双波中特【绿波蓝波】开:14龙准138期牛逼双波中特【蓝波绿波】开:41牛准137期牛逼双波中特【蓝波绿波】开:36马准, 【红波绿波】开:02龙准147期牛逼双波中特, 【绿波蓝波】开:14龙准138期牛逼双波中特, 【红波蓝波】开:10猴准142期牛逼双波中特, 【绿波红波】开:11羊准139期牛逼双波中特, 【蓝波绿波】开:41牛准137期牛逼双波中特, 【蓝波绿波】开:17牛准144期牛逼双波中特, 【蓝波绿波】开:14龙准145期牛逼双波中特, 【红波蓝波】开:18鼠准155期牛逼双波中特, 【绿波蓝波】开:11羊准159期牛逼双波中特, 【蓝波红波】开:40虎准149期牛逼双波中特, 【绿波红波】开:44狗准141期牛逼双波中特, 【红波绿波】开:43猪准150期牛逼双波中特, 【蓝波绿波】开:25蛇准143期牛逼双波中特, 【绿波红波】开:45鸡准154期牛逼双波中特, 【蓝波绿波】开:32狗准146期牛逼双波中特, 【蓝波绿波】开:05牛准156期牛逼双波中特, 【红波蓝波】开:41牛准148期牛逼双波中特, 【蓝波绿波】开:26龙准153期牛逼双波中特","绿波, 红波, 蓝波","虎40准, 31猪准, 鸡45准, 14龙准, 18鼠准, 蛇25准, 狗32准, 牛05准, 鼠18准, 蛇37准, 11准, 11羊准, ??准, 牛17准, 龙38准, 猪31准, 龙14准, 32狗准, 17牛准, 蛇13准, 牛41准, 马36准, 44狗准, 26龙准, 13蛇准, 45准, 10猴准, 43猪准, 龙02准, 02龙准, 43准, 41牛准, 40虎准, 羊23准, 05牛准, 45鸡准, 羊11准, 羊47准, 龙26准, 猴10准, 25蛇准, 05准, 蛇49准, 36马准"
161期,"162期:精准双波, 162期:精准双波╠正在+更新╣开:發00中, 洪七公论坛【精准双波, 洪七公论坛【精准双波】9860888.com, 161期:精准双波","绿波, 蓝波","羊11中, 牛05中, 發00中, 猪31中"
161期,"162期:精准双波, 162期:精准双波╠正在+更新╣开:發00中, 洪七公论坛【精准双波, 163期:精准双波, 洪七公论坛【精准双波】9860888.com, 161期:精准双波","绿波, 红波, 蓝波","羊11中, 發00中"
161期,"158期:双波中特, 158期:双波中特【绿波红波】开:牛05准, 160期:双波中特【绿波蓝波】开:羊11准, 160期:双波中特, 159期:双波中特, 161期:双波中特","绿波, 红波, 蓝波","發00准, 牛05准, 猪31错, 羊11准"
161期,"管家婆【两波中特】十中八九, 两波中特, 管家婆【两波中特","绿波, 红波","11羊 准, 开 ?? 准, ?? 准, 31猪 准, 两波中特"
161期,"【红波绿波】 开 05牛 准  157期： 两波中特, 【蓝波红波】 开 18鼠 准  155期： 两波中特, 【绿波红波】 开 45鸡 准  154期： 两波中特, 【红波蓝波】 开 26龙 准  152期： 两波中特, 159期： 两波中特, 【红波绿波】 开 23羊 准  156期： 两波中特, 两波中特, 【绿波蓝波】 开 31猪 准  158期： 两波中特","绿波, 红波, 蓝波","45鸡 准, 10猴 准, 开 ?? 准, ?? 准, 05牛 准, 23羊 准, 18鼠 准, 六尾中特, 26龙 准, 31猪 准"
161期,"161期:旧城旧巷【必中二波】, 161期:旧城旧巷【必中二波",,
161期,"161期:旧城旧巷【必中二波】, 161期:旧城旧巷【必中二波",,
161期,"161期:旧城旧巷【必中二波】, 161期:旧城旧巷【必中二波",,
161期,"161期:旧城旧巷【必中二波】, 161期:旧城旧巷【必中二波",,
161期,"161期:旧城旧巷【必中二波】, 161期:旧城旧巷【必中二波",,
161期,"161期:旧城旧巷【必中二波】, 161期:旧城旧巷【必中二波",,
161期,"161期:旧城旧巷【必中二波】, 161期:旧城旧巷【必中二波",,
161期,"管家婆【双波中特, 】公式双波, 管家婆【双波中特】公式双波",,
161期,"管家婆【双波中特, 】公式双波, 管家婆【双波中特】公式双波",,
161期,"管家婆【双波中特, 】公式双波, 二波中特, 管家婆【双波中特】公式双波",,二波中特
161期,"管家婆【双波中特, 】公式双波, 二波中特, 管家婆【双波中特】公式双波","红波, 蓝波","?? 准, 开 ?? 准, 二波中特"
161期,"二波中特, 160期： 二波, 中特 【绿波红波】 开 11羊 准  159期： 二波, 中特 【蓝波红波】 开 23羊 准  156期： 二波, 中特 【蓝波绿波】 开 31猪 准  157期： 二波","绿波, 红波, 蓝波","18鼠 准, 11羊 准, 23羊 准, 31猪 准"
161期,"牛头马面【双波中特, 牛头马面【双波中特】326345.com","绿波, 红波",？00准
161期,"161期:两波中特, 159期:两波中特, 158期:两波中特【蓝波+绿波】开:牛05准, 158期:两波中特, 160期:两波中特, 160期:两波中特【蓝波+绿波】开:羊11准","绿波, 红波, 蓝波","發00准, 牛05准, 猪31准, 羊11准"
161期,"161期:旧城旧巷【必中二波】, 161期:旧城旧巷【必中二波",,
161期,"161期:旧城旧巷【必中二波】, 161期:旧城旧巷【必中二波",,
161期,"161期:旧城旧巷【必中二波】, 161期:旧城旧巷【必中二波",,
161期,"新葡京【发财双波】991106.com, 新葡京【发财双波",,
161期,"161期发财双波, 158期发财双波【蓝红波】开:牛05错, 160期发财双波, 160期发财双波【绿红波】开:羊11中, 158期发财双波, 159期发财双波","绿波, 红波, 蓝波","羊11中, 牛05错, 發00中, 猪31中"
161期,"两波必中, 158期：两波必中, 160期：两波必中, 两波必中(新澳门六合彩资料), 161期：两波必中【红绿】开？？准, 159期：两波必中, 159期：两波必中【蓝绿】开猪31准, 161期：两波必中","绿波, 红波, 蓝波","猪31准, 兔39准, 马48准, ？？准, 狗32准"
161期,"♠红绿♠ 开:猪43准152期 双波中特, ♠红蓝♠ 开:龙14准145期 双波中特, ♠蓝红♠ 开:發00准160期 双波中特, 新澳门💦双波中特, 紅波：01 02 07 08 12 13 18 19 23 24 29 30 34 35 40 45 46綠波：05 06 11 16 17 21 22 27 28 32 33 38 39 43 44 49藍波：03 04 09 10 14 15 20 25 26 31 36 37 41 42 47 48161期 双波中特, ♠红绿♠ 开:牛17准143期 双波中特, ♠蓝绿♠ 开:牛05准155期 双波中特, 双波中特, 新澳门💦双波中特💦120066.com, ♠蓝红♠ 开:猴10准151期 双波中特, ♠红绿♠ 开:鸡45准154期 双波中特, ♠红绿♠ 开:狗32准146期 双波中特, ♠蓝红♠ 开:猪31准158期 双波中特, ♠红蓝♠ 开:龙02准147期 双波中特, ♠红绿♠ 开:虎40准149期 双波中特, ♠蓝绿♠ 开:龙38准150期 双波中特, ♠红蓝♠ 开:龙26准153期 双波中特, ♠绿蓝♠ 开:牛41准148期 双波中特, ♠绿红♠ 开:羊11准159期 双波中特","绿波, 红波, 蓝波","牛17准, 龙38准, 猪31准, 虎40准, 鸡45准, 龙14准, 羊11准, 發00准, 龙26准, 猴10准, 狗32准, 龙02准, 牛05准, 牛41准, 猪43准"
161期,"♠红绿♠ 开:猪43准152期 双波中特, ♠红蓝♠ 开:龙14准145期 双波中特, ♠蓝红♠ 开:發00准160期 双波中特, 新澳门💦双波中特, 紅波：01 02 07 08 12 13 18 19 23 24 29 30 34 35 40 45 46綠波：05 06 11 16 17 21 22 27 28 32 33 38 39 43 44 49藍波：03 04 09 10 14 15 20 25 26 31 36 37 41 42 47 48161期 双波中特, ♠红绿♠ 开:牛17准143期 双波中特, ♠蓝绿♠ 开:牛05准155期 双波中特, 双波中特, 新澳门💦双波中特💦120066.com, ♠蓝红♠ 开:猴10准151期 双波中特, ♠红绿♠ 开:鸡45准154期 双波中特, ♠红绿♠ 开:狗32准146期 双波中特, ♠蓝红♠ 开:猪31准158期 双波中特, ♠红蓝♠ 开:龙02准147期 双波中特, ♠红绿♠ 开:虎40准149期 双波中特, ♠蓝绿♠ 开:龙38准150期 双波中特, ♠红蓝♠ 开:龙26准153期 双波中特, ♠绿蓝♠ 开:牛41准148期 双波中特, ♠绿红♠ 开:羊11准159期 双波中特","绿波, 红波, 蓝波","牛17准, 龙38准, 猪31准, 虎40准, 鸡45准, 龙14准, 羊11准, 發00准, 龙26准, 猴10准, 狗32准, 龙02准, 牛05准, 牛41准, 猪43准"
161期,"《绿红》开:兔27准060期:两波中特, 《绿蓝》开:狗32准051期:两波中特, 《绿红》开:鼠18准055期:两波中特, 红波:01.02.07.08.12.13.18.19.23.24.29.30.34.35.40.45.46蓝波:03.04.09.10.14.15.20.25.26.31.36.37.41.42.47.48绿波:05.06.11.16.17.21.22.27.28.32.33.38.39.43.44.49064期:两波中特, 《红蓝》开:龙26准058期:两波中特, 香港💦两波中特, 《红蓝》开:鸡09准054期:两波中特, 《绿红》开:马24准050期:两波中特, 《绿红》开:虎28准047期:两波中特, 《绿蓝》开:虎16准053期:两波中特, 《红蓝》开:鼠42准048期:两波中特, 《蓝绿》开:羊47准046期:两波中特, 香港💦两波中特💦120066.com, 《绿蓝》开:牛17准057期:两波中特, 《绿红》开:猪19准062期:两波中特, 《绿蓝》开:發00准063期:两波中特, 《红蓝》开:猴46准052期:两波中特, 《蓝红》开:兔03准061期:两波中特","绿波, 红波, 蓝波","∶牛41准, 狗08准, 狗32准, ∶狗32准, 鼠18准, ∶鼠18准, ∶龙02准, 鸡09准, ∶蛇25准, 猴46准, ∶牛05准, 牛17准, ∶龙14准, ∶蛇13准, 虎28准, 兔27准, 鼠42准, ∶猪31准, 發00准, ∶狗44准, 马24准, 虎16准, 精准前后中特资料，, ∶蛇49准, 羊47准, ∶羊11准, 龙26准, ∶猴10准, ∶鸡09准, ∶羊23准, ∶發00准, 猪19准, 兔03准"
161期,"精选高手161﻿﻿期：﻿【龙生九子】【二波中特】﻿已更新, 精选高手161﻿﻿期：﻿【龙生九子】【二波",,
161期,"精选高手161﻿﻿期：﻿【龙生九子】【二波中特】﻿已更新, 精选高手161﻿﻿期：﻿【龙生九子】【二波",,
161期,"精选高手161﻿﻿期：﻿【龙生九子】【二波中特】﻿已更新, 精选高手161﻿﻿期：﻿【龙生九子】【二波",,
161期,"精选高手161﻿﻿期：﻿【龙生九子】【二波中特】﻿已更新, 精选高手161﻿﻿期：﻿【龙生九子】【二波",,
161期,"海龙王（双波中特）128813.com, 新澳（双波, 中【蓝波绿波】开:牛17准060期:双波, 中【绿波红波】开:鼠18准058期:双波, 【绿波+蓝波】开:蛇25准158期:双波中特, 绿波05.06.11.16.17.21.22.27.28.32.33.38.39.43.44.49052期:双波中【绿波蓝波】开:狗32准053期:双波中【蓝波红波】开:猴46准054期:双波中【绿波蓝波】开:虎16准055期:双波中【蓝波绿波】开:鸡09准057期:双波中【绿波红波】开:鼠18准058期:双波中【蓝波绿波】开:牛17准060期:双波中【红波蓝波】开:龙26准061期:双波中【绿波红波】开:兔27准062期:双波中【红波蓝波】开:兔03准063期:双波中【绿波红波】开:猪19准064期:双波中【蓝波绿波】开:發00准, 海龙王（双波中特, 中【红波蓝波】开:龙26准061期:双波, 中【绿波红波】开:兔27准062期:双波, 【红波+绿波】开:鼠18准159期:双波中特, 红波01.02.07.08.12.13.18.19.23.24.29.30.34.35.40.45.46  蓝波03.04.09.10.14.15.20.25.26.31.36.37.41.42.47.48  绿波05.06.11.16.17.21.22.27.28.32.33.38.39.43.44.49052期:双波, 中【红波蓝波】开:兔03准063期:双波, 香港(双波, 【红波+蓝波】开:猪07准155期:双波中特, 【红波+蓝波】开:龙02准157期:双波中特, 中【绿波蓝波】开:狗32准053期:双波, 【蓝波+绿波】开:狗32准156期:双波中特, 香港(双波中), 【蓝波+绿波】开:牛05准154期:双波中特, 中【蓝波绿波】开:鸡09准057期:双波, 【绿波+蓝波】开:？00准160期:双波中特, 【绿波+红波】开:猪19准153期:双波中特, 中【蓝波红波】开:猴46准054期:双波, 中【绿波蓝波】开:虎16准055期:双波, 【蓝波+绿波】开:狗20准152期:双波中特, 161期:双波中特, 中【绿波红波】开:猪19准064期:双波","绿波, 红波, 蓝波","蛇25准, 狗32准, 猪07准, 鼠18准, 牛05准, 鸡09准, 狗20准, 猴46准, 牛17准, 羊35准, 兔27准, ？00准, 發00准, 龙02准, 虎16准, 香港(双波中), 龙26准, 猪19准, 兔03准"
161期,"中【蓝波绿波】开:鸡09准057期:双波, 中【绿波红波】开:兔27准062期:双波, 红波01.02.07.08.12.13.18.19.23.24.29.30.34.35.40.45.46  蓝波03.04.09.10.14.15.20.25.26.31.36.37.41.42.47.48  绿波05.06.11.16.17.21.22.27.28.32.33.38.39.43.44.49052期:双波, 中【绿波红波】开:鼠18准058期:双波, 中【红波蓝波】开:兔03准063期:双波, 香港(双波, 新澳（双波, 中【蓝波红波】开:猴46准054期:双波, 中【绿波蓝波】开:狗32准053期:双波, 中【绿波蓝波】开:虎16准055期:双波, 绿波05.06.11.16.17.21.22.27.28.32.33.38.39.43.44.49052期:双波中【绿波蓝波】开:狗32准053期:双波中【蓝波红波】开:猴46准054期:双波中【绿波蓝波】开:虎16准055期:双波中【蓝波绿波】开:鸡09准057期:双波中【绿波红波】开:鼠18准058期:双波中【蓝波绿波】开:牛17准060期:双波中【红波蓝波】开:龙26准061期:双波中【绿波红波】开:兔27准062期:双波中【红波蓝波】开:兔03准063期:双波中【绿波红波】开:猪19准064期:双波中【蓝波绿波】开:發00准, 中【蓝波绿波】开:牛17准060期:双波, 香港(双波中), 中【绿波红波】开:猪19准064期:双波, 中【红波蓝波】开:龙26准061期:双波","绿波, 红波, 蓝波","虎40准, ？00中, 鸡45准, 鼠18中, 狗32准, 牛05准, 鼠18准, 猴10中, 鸡09准, 狗32中, 猴46准, 龙26中, 牛17准, 龙38准, 猪31准, 牛05中, 牛17中, 虎40中, 羊23中, 羊11中, 牛41准, 兔27准, 發00准, 龙02准, 虎16准, 蛇25中, 牛41中, 香港(双波中), 龙38中, 猪43中, 羊11准, 龙26准, 猴10准, 猪43准, 猪19准, 兔03准"
161期,"新澳（双波, 新澳（双波中）128813.com","绿波, 红波, 蓝波","虎40准, ？00中, 鸡45准, 鼠18中, 狗32准, 牛05准, 猴10中, 鼠18准, 狗32中, 龙26中, 牛17准, 龙38准, 猪31准, 牛05中, 虎40中, 羊23中, 羊11中, 牛41准, 鼠42准, 兔27准, 鸡33准, 發00准, 龙02准, 马24准, 虎16准, 蛇25中, 牛41中, 猪19准, 龙38中, 猪43中, 羊11准, 龙26准, 猴10准, 猪43准, 牛17中, 兔03准"
161期,"精选高手161﻿﻿期：﻿【龙生九子】【二波中特】﻿已更新, 精选高手161﻿﻿期：﻿【龙生九子】【二波",,
161期,"精选高手161﻿﻿期：﻿【龙生九子】【二波中特】﻿已更新, 精选高手161﻿﻿期：﻿【龙生九子】【二波",,
161期,"161期【必中双波12码】已公开, 161期【必中双波",,
161期,"161期【必中双波12码】已公开, 161期【必中双波",,
161期,"161期【必中双波12码】已公开, 161期【必中双波",,
161期,"161期：神龙论坛【富贵天喜★两波中特, 161期：神龙论坛【富贵天喜★两波中特】已公开",,
161期,"161期：神龙论坛【富贵天喜★两波中特, 161期：神龙论坛【富贵天喜★两波中特】已公开",,
161期,"161期：神龙论坛【富贵天喜★两波中特, 161期：神龙论坛【富贵天喜★两波中特】已公开",,
161期,"【南葵思暖】【精选双波】, 【南葵思暖】【精选双波",,"？00准, 羊11准"
161期,"精选高手161﻿﻿期：﻿【龙生九子】【二波中特】﻿已更新, 精选高手161﻿﻿期：﻿【龙生九子】【二波",,
161期,"精选高手161﻿﻿期：﻿【龙生九子】【二波中特】﻿已更新, 精选高手161﻿﻿期：﻿【龙生九子】【二波",,
161期,"162期:双波中特, 水果奶奶『双波中特』111462.com, 161期:双波中特【绿波红波】开:發00准, 水果奶奶『双波中特, 160期:双波中特, 161期:双波中特","绿波, 红波, 蓝波","發00准, 羊11准"
161期,"澳门跑狗（杨洋双波, 澳门跑狗（杨洋双波）",,
